Datetime,Open,High,Low,Close,Volume,date,time
2025-05-19 09:15:00+05:30,280.07000732421875,280.67999267578125,279.6099853515625,280.2099914550781,275073.0,2025-05-19,09:15:00
2025-05-19 09:30:00+05:30,279.9700012207031,280.5400085449219,279.7099914550781,280.1000061035156,314377.0,2025-05-19,09:30:00
2025-05-19 09:45:00+05:30,280.010009765625,280.239990234375,279.9100036621094,280.0,162601.0,2025-05-19,09:45:00
2025-05-19 10:00:00+05:30,280.45001220703125,280.4700012207031,280.0400085449219,280.1000061035156,161882.0,2025-05-19,10:00:00
2025-05-19 10:15:00+05:30,280.3399963378906,280.6000061035156,280.17999267578125,280.45001220703125,211431.0,2025-05-19,10:15:00
2025-05-19 10:30:00+05:30,280.19000244140625,280.489990234375,280.1000061035156,280.3900146484375,156976.0,2025-05-19,10:30:00
2025-05-19 10:45:00+05:30,280.3399963378906,280.5,280.04998779296875,280.1600036621094,111107.0,2025-05-19,10:45:00
2025-05-19 11:00:00+05:30,280.30999755859375,280.5,280.2200012207031,280.45001220703125,233745.0,2025-05-19,11:00:00
2025-05-19 11:15:00+05:30,280.25,280.3999938964844,280.20001220703125,280.2900085449219,106047.0,2025-05-19,11:15:00
2025-05-19 11:30:00+05:30,280.1099853515625,280.2799987792969,280.1099853515625,280.2699890136719,146184.0,2025-05-19,11:30:00
2025-05-19 11:45:00+05:30,280.1000061035156,280.25,280.0400085449219,280.1600036621094,104988.0,2025-05-19,11:45:00
2025-05-19 12:00:00+05:30,279.8999938964844,280.1000061035156,279.79998779296875,280.1000061035156,166217.0,2025-05-19,12:00:00
2025-05-19 12:15:00+05:30,280.0,280.1000061035156,279.7699890136719,279.8999938964844,102937.0,2025-05-19,12:15:00
2025-05-19 12:30:00+05:30,279.95001220703125,280.1000061035156,279.9200134277344,279.9599914550781,53503.0,2025-05-19,12:30:00
2025-05-19 12:45:00+05:30,279.9800109863281,280.1499938964844,279.8800048828125,280.04998779296875,131211.0,2025-05-19,12:45:00
2025-05-19 13:00:00+05:30,279.9700012207031,280.20001220703125,279.8699951171875,280.0,309675.0,2025-05-19,13:00:00
2025-05-19 13:15:00+05:30,279.8999938964844,280.25,279.8999938964844,279.9800109863281,165866.0,2025-05-19,13:15:00
2025-05-19 13:30:00+05:30,279.8800048828125,280.1400146484375,279.79998779296875,279.8999938964844,99965.0,2025-05-19,13:30:00
2025-05-19 13:45:00+05:30,279.75,279.8800048828125,279.6300048828125,279.8500061035156,73144.0,2025-05-19,13:45:00
2025-05-19 14:00:00+05:30,279.30999755859375,279.7799987792969,279.05999755859375,279.7799987792969,191938.0,2025-05-19,14:00:00
2025-05-19 14:15:00+05:30,279.25,279.5,279.1700134277344,279.30999755859375,123184.0,2025-05-19,14:15:00
2025-05-19 14:30:00+05:30,279.2799987792969,279.42999267578125,279.1199951171875,279.17999267578125,79065.0,2025-05-19,14:30:00
2025-05-19 14:45:00+05:30,279.17999267578125,279.29998779296875,279.0,279.20001220703125,107861.0,2025-05-19,14:45:00
2025-05-19 15:00:00+05:30,279.19000244140625,279.3299865722656,279.05999755859375,279.1700134277344,272390.0,2025-05-19,15:00:00
2025-05-19 15:15:00+05:30,279.6400146484375,279.6400146484375,279.010009765625,279.20001220703125,196982.0,2025-05-19,15:15:00
2025-05-20 09:15:00+05:30,279.44000244140625,280.239990234375,279.2200012207031,279.29998779296875,232980.0,2025-05-20,09:15:00
2025-05-20 09:30:00+05:30,279.1700134277344,279.6700134277344,279.1700134277344,279.44000244140625,158758.0,2025-05-20,09:30:00
2025-05-20 09:45:00+05:30,278.7900085449219,279.1700134277344,278.6000061035156,279.1700134277344,248341.0,2025-05-20,09:45:00
2025-05-20 10:00:00+05:30,278.95001220703125,279.2099914550781,278.70001220703125,278.79998779296875,189363.0,2025-05-20,10:00:00
2025-05-20 10:15:00+05:30,278.9200134277344,279.0,278.79998779296875,278.95001220703125,65209.0,2025-05-20,10:15:00
2025-05-20 10:30:00+05:30,279.42999267578125,279.4800109863281,278.8500061035156,278.9200134277344,148351.0,2025-05-20,10:30:00
2025-05-20 10:45:00+05:30,279.3999938964844,279.739990234375,279.3299865722656,279.3999938964844,145427.0,2025-05-20,10:45:00
2025-05-20 11:00:00+05:30,279.42999267578125,279.5899963378906,279.1700134277344,279.5,96369.0,2025-05-20,11:00:00
2025-05-20 11:15:00+05:30,279.0299987792969,279.3699951171875,279.0,279.3599853515625,81867.0,2025-05-20,11:15:00
2025-05-20 11:30:00+05:30,278.8999938964844,279.19000244140625,278.79998779296875,279.0899963378906,139469.0,2025-05-20,11:30:00
2025-05-20 11:45:00+05:30,278.75,278.8999938964844,278.6199951171875,278.8999938964844,164282.0,2025-05-20,11:45:00
2025-05-20 12:00:00+05:30,278.760009765625,278.8999938964844,278.70001220703125,278.8500061035156,131838.0,2025-05-20,12:00:00
2025-05-20 12:15:00+05:30,278.8999938964844,278.8999938964844,278.6400146484375,278.70001220703125,253673.0,2025-05-20,12:15:00
2025-05-20 12:30:00+05:30,278.8399963378906,278.94000244140625,278.6700134277344,278.8999938964844,120134.0,2025-05-20,12:30:00
2025-05-20 12:45:00+05:30,278.1000061035156,278.8500061035156,278.0,278.8500061035156,322584.0,2025-05-20,12:45:00
2025-05-20 13:00:00+05:30,278.1300048828125,278.3500061035156,278.0199890136719,278.1099853515625,157407.0,2025-05-20,13:00:00
2025-05-20 13:15:00+05:30,277.9599914550781,278.1300048828125,277.7099914550781,278.1199951171875,280618.0,2025-05-20,13:15:00
2025-05-20 13:30:00+05:30,277.70001220703125,278.0199890136719,277.6000061035156,277.9700012207031,120424.0,2025-05-20,13:30:00
2025-05-20 13:45:00+05:30,277.79998779296875,277.9800109863281,277.6199951171875,277.70001220703125,178433.0,2025-05-20,13:45:00
2025-05-20 14:00:00+05:30,277.5,277.79998779296875,277.30999755859375,277.7900085449219,261811.0,2025-05-20,14:00:00
2025-05-20 14:15:00+05:30,277.1400146484375,277.5,277.0199890136719,277.489990234375,285466.0,2025-05-20,14:15:00
2025-05-20 14:30:00+05:30,276.8699951171875,277.20001220703125,276.79998779296875,277.1300048828125,274011.0,2025-05-20,14:30:00
2025-05-20 14:45:00+05:30,276.8500061035156,277.0799865722656,276.7799987792969,276.80999755859375,317165.0,2025-05-20,14:45:00
2025-05-20 15:00:00+05:30,276.989990234375,277.0400085449219,276.739990234375,276.8500061035156,476179.0,2025-05-20,15:00:00
2025-05-20 15:15:00+05:30,277.20001220703125,277.25,276.67999267578125,276.989990234375,624809.0,2025-05-20,15:15:00
2025-05-21 09:15:00+05:30,277.0,277.760009765625,276.5,277.3500061035156,146091.0,2025-05-21,09:15:00
2025-05-21 09:30:00+05:30,277.5199890136719,277.8500061035156,276.80999755859375,277.0,377631.0,2025-05-21,09:30:00
2025-05-21 09:45:00+05:30,277.82000732421875,278.04998779296875,277.5400085449219,277.5400085449219,197880.0,2025-05-21,09:45:00
2025-05-21 10:00:00+05:30,278.29998779296875,278.3500061035156,277.82000732421875,277.9599914550781,353665.0,2025-05-21,10:00:00
2025-05-21 10:15:00+05:30,278.6199951171875,278.8500061035156,278.3500061035156,278.3500061035156,327034.0,2025-05-21,10:15:00
2025-05-21 10:30:00+05:30,278.82000732421875,279.1400146484375,278.6499938964844,278.6499938964844,194201.0,2025-05-21,10:30:00
2025-05-21 10:45:00+05:30,278.8599853515625,278.989990234375,278.7300109863281,278.8900146484375,159472.0,2025-05-21,10:45:00
2025-05-21 11:00:00+05:30,278.5,278.8599853515625,278.260009765625,278.8599853515625,230814.0,2025-05-21,11:00:00
2025-05-21 11:15:00+05:30,278.2900085449219,278.7300109863281,278.1700134277344,278.5,158991.0,2025-05-21,11:15:00
2025-05-21 11:30:00+05:30,278.1099853515625,278.3399963378906,277.94000244140625,278.2900085449219,182372.0,2025-05-21,11:30:00
2025-05-21 11:45:00+05:30,277.8500061035156,278.1600036621094,277.70001220703125,278.1600036621094,130977.0,2025-05-21,11:45:00
2025-05-21 12:00:00+05:30,276.82000732421875,277.8999938964844,276.760009765625,277.82000732421875,151598.0,2025-05-21,12:00:00
2025-05-21 12:15:00+05:30,277.04998779296875,277.29998779296875,276.4100036621094,276.75,539759.0,2025-05-21,12:15:00
2025-05-21 12:30:00+05:30,277.3999938964844,277.6499938964844,277.0899963378906,277.0899963378906,107910.0,2025-05-21,12:30:00
2025-05-21 12:45:00+05:30,277.3500061035156,277.42999267578125,277.010009765625,277.25,129068.0,2025-05-21,12:45:00
2025-05-21 13:00:00+05:30,277.4700012207031,277.4800109863281,277.19000244140625,277.3900146484375,88753.0,2025-05-21,13:00:00
2025-05-21 13:15:00+05:30,277.260009765625,277.94000244140625,277.260009765625,277.45001220703125,124832.0,2025-05-21,13:15:00
2025-05-21 13:30:00+05:30,277.2200012207031,277.6300048828125,277.1000061035156,277.29998779296875,48633.0,2025-05-21,13:30:00
2025-05-21 13:45:00+05:30,277.2900085449219,277.5,277.1400146484375,277.239990234375,41503.0,2025-05-21,13:45:00
2025-05-21 14:00:00+05:30,277.489990234375,277.489990234375,276.9200134277344,277.3399963378906,103852.0,2025-05-21,14:00:00
2025-05-21 14:15:00+05:30,277.5400085449219,277.7200012207031,277.30999755859375,277.4200134277344,92318.0,2025-05-21,14:15:00
2025-05-21 14:30:00+05:30,277.3500061035156,277.760009765625,277.29998779296875,277.57000732421875,73922.0,2025-05-21,14:30:00
2025-05-21 14:45:00+05:30,277.5,277.6000061035156,277.3500061035156,277.3999938964844,36086.0,2025-05-21,14:45:00
2025-05-21 15:00:00+05:30,277.5400085449219,277.70001220703125,277.5,277.5400085449219,104248.0,2025-05-21,15:00:00
2025-05-21 15:15:00+05:30,277.489990234375,277.6700134277344,277.4200134277344,277.6000061035156,267890.0,2025-05-21,15:15:00
2025-05-22 09:15:00+05:30,275.5799865722656,277.1199951171875,275.3500061035156,276.9800109863281,463889.0,2025-05-22,09:15:00
2025-05-22 09:30:00+05:30,275.54998779296875,275.8299865722656,275.0,275.5199890136719,715118.0,2025-05-22,09:30:00
2025-05-22 09:45:00+05:30,275.79998779296875,275.79998779296875,275.20001220703125,275.5899963378906,288067.0,2025-05-22,09:45:00
2025-05-22 10:00:00+05:30,275.8500061035156,275.989990234375,275.5,275.8299865722656,294545.0,2025-05-22,10:00:00
